Identifier,LeadID,Industry,Bank_Name,description,transaction_type,amount,B2C_KW_Category,Yodlee_Category
155,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,404.45,CREDIT CARD PAYMENTS,Credit Card Payments
156,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1147.23,TRADE REVENUE,Uncategorized
157,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,42.41,TRADE REVENUE,Other Income
158,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1509.92,TRADE REVENUE,Uncategorized
159,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9254,debit,2658,TRANSFERS,Transfers
160,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1767.98,TRADE REVENUE,Other Income
161,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,889.42,TRADE REVENUE,Uncategorized
162,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9370,debit,1852,TRANSFERS,Transfers
163,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,7.95,CREDIT CARD PAYMENTS,Credit Card Payments
164,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,989.46,TRADE REVENUE,Uncategorized
165,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,158.38,TRADE REVENUE,Uncategorized
166,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1272.99,TRADE REVENUE,Uncategorized
167,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,560.43,TRADE PAYMENTS,Travel
168,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,389.63,TRADE REVENUE,Other Income
169,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,232.54,TRADE REVENUE,Other Income
170,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,593.94,TRADE REVENUE,Uncategorized
171,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2826,debit,1198,TRANSFERS,Transfers
172,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6270,debit,1422,TRANSFERS,Transfers
173,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,297.04,TRADE REVENUE,Other Income
174,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1124.68,TRADE REVENUE,Uncategorized
175,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
176,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8964,debit,1114,TRANSFERS,Transfers
177,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1114.58,TRADE REVENUE,Uncategorized
178,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx0099,debit,1586,TRANSFERS,Transfers
179,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,480.86,TRADE REVENUE,Uncategorized
180,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1104.64,TRADE REVENUE,Uncategorized
181,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,452.73,TRADE REVENUE,Other Income
182,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,262.98,TRADE REVENUE,Other Income
183,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6784,debit,3079,TRANSFERS,Transfers
184,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1826.23,TRADE REVENUE,Uncategorized
185,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,157.2,TRADE REVENUE,Other Income
186,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,380.16,TRADE REVENUE,Uncategorized
187,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx7335,debit,9493,TRANSFERS,Transfers
188,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,640.44,TRADE REVENUE,Other Income
189,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,977.01,TRADE REVENUE,Uncategorized
190,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,873.68,TRADE REVENUE,Other Income
191,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,992.68,TRADE REVENUE,Uncategorized
192,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,13.87,TRADE REVENUE,Other Income
193,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,185.76,TRADE REVENUE,Uncategorized
194,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,911.39,TRADE REVENUE,Uncategorized
195,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1481.36,TRADE REVENUE,Uncategorized
196,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1562,TRADE REVENUE,Other Income
197,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,140.19,TRADE REVENUE,Other Income
198,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,302.2,TRADE REVENUE,Uncategorized
199,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,636.18,TRADE REVENUE,Other Income
200,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,775.47,TRADE REVENUE,Uncategorized
201,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx1545,debit,1453,TRANSFERS,Transfers
202,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1057.39,TRADE REVENUE,Other Income
203,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,395.72,TRADE REVENUE,Uncategorized
204,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,732.85,TRADE REVENUE,Other Income
205,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx5574,debit,1726,TRANSFERS,Transfers
206,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,993.92,TRADE REVENUE,Uncategorized
207,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4466,debit,2043,TRANSFERS,Transfers
208,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,4.08,TRADE REVENUE,Other Income
209,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,81.59,TRADE REVENUE,Uncategorized
210,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,926.39,TRADE REVENUE,Uncategorized
211,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1030.29,TRADE REVENUE,Uncategorized
212,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,2566.21,TRADE REVENUE,Other Income
213,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx0251,debit,2566,TRANSFERS,Transfers
214,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,407.3,TRADE REVENUE,Other Income
215,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,706.27,TRADE REVENUE,Uncategorized
216,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4985,debit,2411,TRANSFERS,Transfers
217,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,216.09,TRADE REVENUE,Other Income
218,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,380.9,TRADE REVENUE,Uncategorized
219,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,175.2,TRADE REVENUE,Other Income
220,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,525.48,TRADE REVENUE,Uncategorized
221,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,851.64,TRADE REVENUE,Other Income
222,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx3175,debit,1739,TRANSFERS,Transfers
223,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,887.25,TRADE REVENUE,Uncategorized
224,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8913,debit,1142,TRANSFERS,Transfers
225,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,396.35,CREDIT CARD PAYMENTS,Credit Card Payments
226,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,535.91,TRADE REVENUE,Uncategorized
227,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,214.5,TRADE REVENUE,Uncategorized
228,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,788.34,TRADE REVENUE,Uncategorized
229,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,426.19,TRADE REVENUE,Other Income
230,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx7077,debit,2731,TRANSFERS,Transfers
231,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,184.46,TRADE REVENUE,Other Income
232,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,525.87,TRADE PAYMENTS,Travel
233,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,476.3,TRADE REVENUE,Uncategorized
234,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,969.88,TRADE REVENUE,Other Income
235,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,7.95,CREDIT CARD PAYMENTS,Credit Card Payments
236,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1225.11,TRADE REVENUE,Uncategorized
237,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx1409,debit,4322,TRANSFERS,Transfers
238,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,222.08,TRADE REVENUE,Other Income
239,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1922.03,TRADE REVENUE,Uncategorized
240,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
241,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,697.7,TRADE REVENUE,Other Income
242,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1480.86,TRADE REVENUE,Uncategorized
243,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx5032,debit,2526,TRANSFERS,Transfers
244,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,517.29,TRADE REVENUE,Uncategorized
245,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,772.81,TRADE REVENUE,Uncategorized
246,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1235.77,TRADE REVENUE,Uncategorized
247,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,372.4,TRADE REVENUE,Other Income
248,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,806.33,TRADE REVENUE,Other Income
249,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx3966,debit,1943,TRANSFERS,Transfers
250,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,764.2,TRADE REVENUE,Uncategorized
251,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1231.36,TRADE REVENUE,Other Income
252,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2372,debit,15687,TRANSFERS,Transfers
253,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,296.67,TRADE REVENUE,Uncategorized
254,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,430.08,TRADE REVENUE,Other Income
255,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,359.77,TRADE REVENUE,Uncategorized
256,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,17.67,TRADE REVENUE,Other Income
257,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,550.45,TRADE REVENUE,Uncategorized
258,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,412.25,TRADE REVENUE,Uncategorized
259,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,324.85,TRADE REVENUE,Uncategorized
260,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,441.82,TRADE REVENUE,Uncategorized
261,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,229.83,TRADE REVENUE,Other Income
262,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,770.46,TRADE REVENUE,Other Income
263,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,341.02,TRADE REVENUE,Uncategorized
264,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,425.57,TRADE REVENUE,Uncategorized
265,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,627.65,TRADE REVENUE,Other Income
266,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,112.16,TRADE REVENUE,Other Income
267,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1010,TRADE REVENUE,Uncategorized
268,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,117.45,TRADE REVENUE,Other Income
269,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,899.02,TRADE REVENUE,Uncategorized
270,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,912.53,TRADE REVENUE,Other Income
271,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,21.21,TRADE REVENUE,Other Income
272,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1206.41,TRADE REVENUE,Uncategorized
273,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,604.91,TRADE REVENUE,Uncategorized
274,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,2132.55,TRADE REVENUE,Other Income
275,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,658.43,TRADE REVENUE,Uncategorized
276,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,258.37,TRADE REVENUE,Other Income
277,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1294.89,TRADE REVENUE,Uncategorized
278,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9669,debit,6583,TRANSFERS,Transfers
279,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,67.91,TRADE REVENUE,Other Income
280,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1390.34,TRADE REVENUE,Uncategorized
281,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,210.25,TRADE REVENUE,Other Income
282,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,849.18,TRADE REVENUE,Uncategorized
283,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,209.58,TRADE REVENUE,Uncategorized
284,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,326.59,TRADE REVENUE,Uncategorized
285,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,271.23,TRADE REVENUE,Other Income
286,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,210.27,CREDIT CARD PAYMENTS,Credit Card Payments
287,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1195.23,TRADE REVENUE,Uncategorized
288,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1413.53,TRADE REVENUE,Other Income
289,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,858.78,TRADE REVENUE,Uncategorized
290,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx0108,debit,6016,TRANSFERS,Transfers
291,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1608.89,TRADE REVENUE,Other Income
292,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,461.03,TRADE PAYMENTS,Travel
293,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,399.69,TRADE REVENUE,Uncategorized
294,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,30.45,TRADE REVENUE,Other Income
295,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,7.95,CREDIT CARD PAYMENTS,Credit Card Payments
296,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1701.53,TRADE REVENUE,Uncategorized
297,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
298,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,39.97,TRADE REVENUE,Uncategorized
299,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,110.75,TRADE REVENUE,Other Income
300,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,876.95,TRADE REVENUE,Uncategorized
301,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,573.7,TRADE REVENUE,Uncategorized
302,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,81.86,TRADE REVENUE,Other Income
303,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,583.77,TRADE REVENUE,Uncategorized
304,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,495.43,TRADE REVENUE,Other Income
305,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1293.16,TRADE REVENUE,Other Income
306,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6319,debit,1928,TRANSFERS,Transfers
307,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,634.79,TRADE REVENUE,Uncategorized
308,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx5891,debit,1032,TRANSFERS,Transfers
